id,Name,Experience,Height,Weight,Abilitie 1,Abilitie 2,Abilitie 3,Move 1,Move 2,Move 3,Move 3,Move 5,Move 6,Move 7
694,helioptile,58,5,60,solar-power,sand-veil,dry-skin,pound,razor-wind,cut,tail-whip,surf,thunder-shock,thunderbolt
695,heliolisk,168,10,210,solar-power,sand-veil,dry-skin,fire-punch,thunder-punch,razor-wind,cut,surf,hyper-beam,low-kick
696,tyrunt,72,8,260,sturdy,strong-jaw,,stomp,horn-drill,tackle,thrash,tail-whip,bite,roar
697,tyrantrum,182,25,2700,rock-head,strong-jaw,,stomp,horn-drill,tackle,thrash,tail-whip,bite,roar
698,amaura,72,13,252,snow-warning,refrigerate,,take-down,growl,roar,mist,ice-beam,blizzard,aurora-beam
699,aurorus,104,27,2250,snow-warning,refrigerate,,take-down,growl,roar,mist,ice-beam,blizzard,aurora-beam
700,sylveon,184,10,235,pixilate,cute-charm,,cut,sand-attack,tackle,tail-whip,hyper-beam,dig,toxic
701,hawlucha,175,8,215,mold-breaker,unburden,limber,karate-chop,fire-punch,thunder-punch,swords-dance,cut,wing-attack,fly
702,dedenne,151,2,22,plus,pickup,cheek-pouch,thunder-punch,cut,tackle,tail-whip,thunder-shock,thunderbolt,thunder-wave
703,carbink,100,3,57,sturdy,clear-body,,tackle,rock-throw,toxic,psychic,double-team,harden,light-screen
704,goomy,60,3,28,gooey,hydration,sap-sipper,tackle,body-slam,counter,absorb,thunderbolt,toxic,double-team
705,sliggoo,158,8,175,gooey,hydration,sap-sipper,tackle,body-slam,ice-beam,blizzard,absorb,thunderbolt,toxic
706,goodra,270,20,1505,gooey,hydration,sap-sipper,fire-punch,thunder-punch,tackle,body-slam,flamethrower,ice-beam,blizzard
707,klefki,165,2,30,magician,prankster,,cut,tackle,hyper-beam,thunder-wave,toxic,psychic,double-team
708,phantump,62,4,70,harvest,frisk,natural-cure,cut,tackle,strength,leech-seed,growth,solar-beam,dig
709,trevenant,166,15,710,harvest,frisk,natural-cure,cut,tackle,hyper-beam,strength,leech-seed,growth,solar-beam
710,pumpkaboo-average,67,4,50,insomnia,frisk,pickup,disable,flamethrower,leech-seed,razor-leaf,solar-beam,toxic,psychic
711,gourgeist-average,173,9,125,insomnia,frisk,pickup,flamethrower,hyper-beam,leech-seed,razor-leaf,solar-beam,toxic,psychic
712,bergmite,61,10,995,sturdy,ice-body,own-tempo,tackle,take-down,double-edge,bite,mist,surf,ice-beam
713,avalugg,180,20,5050,sturdy,ice-body,own-tempo,tackle,body-slam,take-down,double-edge,bite,roar,surf
714,noibat,49,5,80,telepathy,infiltrator,frisk,razor-wind,cut,gust,wing-attack,whirlwind,fly,tackle
715,noivern,187,15,850,telepathy,infiltrator,frisk,razor-wind,cut,gust,wing-attack,whirlwind,fly,tackle
716,xerneas,306,30,2150,fairy-aura,,,cut,take-down,roar,aurora-beam,hyper-beam,thunderbolt,thunder-wave
717,yveltal,306,58,2030,dark-aura,,,razor-wind,cut,fly,disable,hyper-beam,toxic,psychic
718,zygarde,270,50,3050,aura-break,,,bind,bite,hyper-beam,strength,earthquake,dig,toxic
719,diancie,270,7,88,clear-body,,,tackle,hyper-beam,rock-throw,toxic,psychic,double-team,harden
720,hoopa,270,5,90,magician,,,fire-punch,ice-punch,thunder-punch,psybeam,hyper-beam,thunderbolt,thunder-wave
721,volcanion,270,17,1950,water-absorb,,,cut,stomp,body-slam,take-down,roar,flamethrower,mist
